recno,Name,Survey,zHD,e_zHD,zCMB,zHel,mBcorr,e_mBcorr,c,e_c,x1,e_x1,mB,e_mB,B14,SDSSII-SN,K17,PS1MD,B19,F18,C22,SimbadName,_RA,_DE
710,"2007jd","CSP",0.07222,8.9E-4,0.07196,0.07268,18.379,0.198,0.041,0.026,-0.876,0.103,18.615,0.046,0,0,0,0,0,0,0,"SN 2007jd",44.9737,1.16023
322,"ASASSN-16bn","CNIa0.02",0.02241,8.6E-4,0.02253,0.02317,15.786,0.213,-0.088,0.04,1.468,0.349,15.384,0.102,0,0,0,0,0,0,1,"ASASSN-16bn",47.64375,4.2697
307,"1995ak","CfA1",0.02203,8.5E-4,0.02193,0.02269,15.421,0.246,0.072,0.033,-1.061,0.119,15.776,0.049,1,0,0,0,0,0,1,"SN 1995ak",41.45346,3.23058
310,"ATLAS16dpb","FOUND",0.02215,8.5E-4,0.02238,0.02309,15.795,0.287,0.098,0.049,-2.548,0.221,16.465,0.109,0,0,0,0,0,0,1,"ATLAS16dpb",44.39171,5.97814
544,"2003iv","CfA3S",0.03491,8.8E-4,0.03351,0.03426,16.659,0.163,-0.077,0.037,-2.072,0.188,16.792,0.081,1,0,0,1,2,0,1,"SN 2003iv",42.53018,12.84591
443,"AT2017ns","FOUND",0.02849,9.4E-4,0.02802,0.02877,15.943,0.366,0.227,0.043,-0.966,0.267,16.843,0.075,0,0,0,0,0,1,1,"AT2017ns",42.29325,14.60073
522,"2006os","CSP",0.03294,8.8E-4,0.03212,0.03285,16.546,0.325,0.279,0.031,-0.669,0.061,17.345,0.084,0,0,1,0,0,0,1,"SN 2006os",43.75421,16.00967
251,"PS15coh","FOUND",0.01839,8.5E-4,0.01796,0.01884,15.186,0.225,-0.036,0.039,1.342,0.099,14.95,0.085,0,0,0,0,0,1,1,"PS15coh",33.99358,12.23716
162,"ASASSN-16la","FOUND",0.01424,8.5E-4,0.01424,0.01506,14.591,0.264,-0.102,0.044,0.832,0.135,14.26,0.119,0,0,0,0,0,0,1,"ASASSN-16la",37.32283,18.08787
148,"1999dq","LOSS1",0.01312,8.5E-4,0.01334,0.01413,14.267,0.272,-0.029,0.042,0.82,0.04,14.077,0.069,1,0,0,0,0,0,1,"SN 1999dq",38.49867,20.97511
149,"1999dq","CfA2",0.01312,8.5E-4,0.01334,0.01413,14.219,0.26,0.011,0.03,0.867,0.034,14.124,0.069,1,0,0,0,0,0,1,"SN 1999dq",38.49867,20.97511
408,"ASASSN-15uu","FOUND",0.02632,8.6E-4,0.02579,0.02678,15.769,0.371,0.163,0.038,0.964,0.184,16.293,0.056,0,0,0,0,0,1,1,"ASASSN-15uu",25.98572,17.06234
465,"ASASSN-16hh","CNIa0.02",0.02978,8.6E-4,0.02935,0.03026,16.249,0.188,-0.087,0.041,0.842,0.407,15.941,0.084,0,0,0,0,0,0,1,"ASASSN-16hh",31.15587,21.58606
86,"2005W","CSP",0.00855,8.4E-4,0.00861,0.00954,13.599,0.317,0.088,0.024,-0.431,0.055,13.907,0.046,0,0,1,0,0,0,1,"SN 2005W",27.69062,21.75989
717,"2010hs","LOSS2",0.0756,0.00508,0.07514,0.076,18.561,0.288,-0.102,0.048,1.12,0.552,18.152,0.076,0,0,0,0,0,0,1,"SN 2010hs",36.41308,24.76489
547,"2005eu","LOSS1",0.03516,0.00507,0.03369,0.03449,16.548,0.483,-0.19,0.033,0.098,0.069,16.129,0.078,1,0,0,0,0,0,1,"SN 2005eu",36.93042,28.17717
548,"2005eu","CfA3K",0.03516,0.00507,0.03369,0.03449,16.551,0.481,-0.084,0.035,0.855,0.096,16.251,0.079,1,0,0,0,0,0,1,"SN 2005eu",36.93042,28.17717
223,"ASASSN-15ti","FOUND",0.01692,8.5E-4,0.01671,0.01732,15.236,0.309,-0.042,0.041,-1.479,0.109,15.405,0.092,0,0,0,0,0,1,1,"ASASSN-15ti",46.2859,37.9002
605,"2007kk","LOSS2",0.04285,8.8E-4,0.0413,0.04177,16.999,0.173,-0.05,0.042,0.942,0.217,16.733,0.126,0,0,0,1,2,0,1,"SN 2007kk",55.59691,39.24175
606,"2007kk","CfA4p1",0.04285,8.8E-4,0.0413,0.04177,16.954,0.164,-0.05,0.042,0.935,0.136,16.688,0.125,0,0,0,1,2,0,1,"SN 2007kk",55.59691,39.24175
242,"2008L","LOSS1",0.01778,8.5E-4,0.01734,0.01789,15.083,0.208,-0.115,0.04,-1.582,0.106,15.06,0.096,0,0,0,1,2,0,1,"SN 2008L",49.31915,41.38229
243,"2008L","CfA3K",0.01778,8.5E-4,0.01734,0.01789,14.993,0.212,-0.142,0.04,-1.524,0.097,14.913,0.095,0,0,0,1,2,0,1,"SN 2008L",49.31915,41.38229
298,"SN2016ajf","FOUND",0.02134,8.5E-4,0.01978,0.02032,15.51,0.339,0.203,0.05,-2.931,0.171,16.539,0.101,0,0,0,0,0,0,1,"SN2016ajf",49.97696,41.56486
648,"2007kh","CfA4p1",0.05032,0.00508,0.04944,0.05,17.287,0.453,0.119,0.063,0.613,0.396,17.613,0.134,0,0,0,1,2,0,1,"SN 2007kh",48.8002,43.17039
397,"PSNJ0153424","FOUND",0.02556,8.5E-4,0.02474,0.02565,15.93,0.232,0.069,0.034,-0.609,0.091,16.23,0.048,0,0,0,0,0,1,1,"PSN J01534240+2956107",28.42667,29.93631
237,"2004fz","LOSS1",0.01743,8.5E-4,0.01646,0.01732,14.527,0.33,-0.044,0.024,-1.275,0.059,14.657,0.043,0,0,0,0,0,0,1,"SN 2004fz",30.27671,31.87894
578,"2002eu","LOSS1",0.0379,9.3E-4,0.03672,0.03763,16.809,0.161,0.006,0.024,-2.068,0.11,17.131,0.04,0,0,0,1,0,0,1,"SN 2002eu",27.43167,32.62861
735,"SN2016grz","FOUND",0.08704,0.00103,0.08656,0.08748,18.595,0.215,0.054,0.039,0.812,0.424,18.652,0.053,0,0,0,0,0,0,1,"SN2016grz",28.88729,33.82297
184,"SN2017jl","FOUND",0.01525,9.6E-4,0.01529,0.01633,14.518,0.301,-0.002,0.034,0.603,0.122,14.513,0.056,0,0,0,0,0,1,1,"SN2017jl",14.3829,30.18523
